address,id,eyes,ears,mouth,horn,back,tail,class,breedcount,speed
0x3618440e121a41ca88489598885f6cf5584cfff2,11259087,eyes-mavis,ears-owl,mouth-goda,horn-arco,back-balloon,tail-hare,Mech,3,51
0x3618440e121a41ca88489598885f6cf5584cfff2,11262680,eyes-confused,ears-hollow,mouth-kotaro,horn-cactus,back-mint,tail-hatsune,Plant,2,32
0xef34f92d1daaaf6b141547deef8faa6eeea54b1a,11292128,eyes-papi,ears-friezard,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,2,42
0xef34f92d1daaaf6b141547deef8faa6eeea54b1a,11292149,eyes-gecko,ears-friezard,mouth-goda,horn-scaly-spear,back-bone-sail,tail-cattail,Dusk,3,44
0xef34f92d1daaaf6b141547deef8faa6eeea54b1a,11297943,eyes-chubby,ears-pogona,mouth-mosquito,horn-caterpillars,back-snail-shell,tail-cottontail,Bug,2,34
0x4393681fa37e2601709877c77e62b6bf435f294c,11292194,eyes-sleepless,ears-friezard,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,3,42
0x4393681fa37e2601709877c77e62b6bf435f294c,11294531,eyes-confused,ears-lotus,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,2,41
0x4393681fa37e2601709877c77e62b6bf435f294c,11297606,eyes-gero,ears-leafy,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,3,44
0x63943b48cafce1029b147d85c9a4e3c9907316ab,4901576,eyes-gero,ears-nimo,mouth-piranha,horn-scaly-spear,back-sandal,tail-nimo,Aquatic,0,52
0x63943b48cafce1029b147d85c9a4e3c9907316ab,5437116,eyes-topaz,ears-pogona,mouth-kotaro,horn-scaly-spear,back-croc,tail-gravel-ant,Reptile,3,40
0x63943b48cafce1029b147d85c9a4e3c9907316ab,11243838,eyes-gecko,ears-tiny-fan,mouth-serious,horn-scaly-spear,back-sandal,tail-cattail,Dusk,0,44
0x3e77d16f5920021d0a3c73488ab9f3c4fd64daea,10164312,eyes-little-owl,ears-clover,mouth-toothless-bite,horn-dual-blade,back-hero,tail-hare,Mech,2,46
0x3e77d16f5920021d0a3c73488ab9f3c4fd64daea,10503662,eyes-tricky,ears-puppy,mouth-kotaro,horn-watermelon,back-indian-star,tail-tiny-dino,Dusk,1,44
0x3e77d16f5920021d0a3c73488ab9f3c4fd64daea,10988172,eyes-neo,ears-hollow,mouth-tiny-turtle,horn-watermelon,back-sandal,tail-grass-snake,Dusk,0,41
0x33956bb3cb1b520f863519f7e344c22b5501b0ff,10549966,eyes-confused,ears-clover,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,4,32
0x33956bb3cb1b520f863519f7e344c22b5501b0ff,11186848,eyes-mavis,ears-pink-cheek,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,4,61
0x33956bb3cb1b520f863519f7e344c22b5501b0ff,11250502,eyes-neo,ears-beetle-spike,mouth-mosquito,horn-parasite,back-snail-shell,tail-cottontail,Bug,4,32
0xaf4172eeacbb8a256491fd0f4191e2bd305b71da,9583695,eyes-clear,ears-friezard,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,5,46
0xaf4172eeacbb8a256491fd0f4191e2bd305b71da,9986525,eyes-sleepless,ears-nimo,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,5,50
0xaf4172eeacbb8a256491fd0f4191e2bd305b71da,10357078,eyes-papi,ears-leafy,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,1,31
0xc2803bbd01842513aedd6ee4330397c247d2b488,240918,eyes-chubby,ears-belieber,mouth-nut-cracker,horn-dual-blade,back-risky-beast,tail-cottontail,Beast,4,41
0xc2803bbd01842513aedd6ee4330397c247d2b488,5302466,eyes-gecko,ears-curved-spine,mouth-razor-bite,horn-scaly-spoon,back-tri-spikes,tail-wall-gecko,Reptile,2,41
0xc2803bbd01842513aedd6ee4330397c247d2b488,10837181,eyes-confused,ears-rosa,mouth-zigzag,horn-cactus,back-bidens,tail-cattail,Plant,4,31
0x52b2b8ff0cafba8600d538b6ff9b2b9f5696b202,11280356,eyes-scar,ears-lotus,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,3,42
0x52b2b8ff0cafba8600d538b6ff9b2b9f5696b202,11291209,eyes-papi,ears-rosa,mouth-kotaro,horn-scaly-spear,back-indian-star,tail-tiny-dino,Reptile,0,39
0x52b2b8ff0cafba8600d538b6ff9b2b9f5696b202,11292150,eyes-gecko,ears-rosa,mouth-goda,horn-scaly-spear,back-bone-sail,tail-cattail,Dusk,2,43
0x61002ca6f89eae073b8ef21d617f0b5fd1bd185c,6218033,eyes-papi,ears-lotus,mouth-serious,horn-cactus,back-shiitake,tail-carrot,Plant,3,31
0x61002ca6f89eae073b8ef21d617f0b5fd1bd185c,10863084,eyes-lucas,ears-bubblemaker,mouth-piranha,horn-oranda,back-blue-moon,tail-shrimp,Aquatic,0,57
0x61002ca6f89eae073b8ef21d617f0b5fd1bd185c,11253977,eyes-cucumber-slice,ears-clover,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,2,32
0xfc3370dbe227add7862fc9ec89667fe352145445,10129555,eyes-clear,ears-early-bird,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,2,50
0xfc3370dbe227add7862fc9ec89667fe352145445,10139073,eyes-confused,ears-leafy,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,0,31
0xfc3370dbe227add7862fc9ec89667fe352145445,10235814,eyes-blossom,ears-lotus,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Reptile,1,38
0x7102673a5e5760246ef78003185c90bf57ae10dd,4217457,eyes-blossom,ears-clover,mouth-serious,horn-leaf-bug,back-buzz-buzz,tail-yam,Plant,0,31
0x7102673a5e5760246ef78003185c90bf57ae10dd,9006336,eyes-kotaro?,ears-clover,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,2,42
0x7102673a5e5760246ef78003185c90bf57ae10dd,10952145,eyes-mavis,ears-bubblemaker,mouth-toothless-bite,horn-pliers,back-furball,tail-twin-tail,Mech,0,47
0xabfdaa15c236d506d189c0f75236bfecc9b70f8b,7455868,eyes-clear,ears-gill,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,Dusk,5,50
0xabfdaa15c236d506d189c0f75236bfecc9b70f8b,8174490,eyes-confused,ears-hollow,mouth-serious,horn-leaf-bug,back-pumpkin,tail-yam,Plant,3,31
