0xef34f92d1daaaf6b141547deef8faa6eeea54b1a,3230,1
0x6e67dc6adec8069bc0be18495ae75638c83a5239,3192,2
0x3e367580580d3555d3fecefe6fa34b27bc52d8c4,3191,3
0xabfdaa15c236d506d189c0f75236bfecc9b70f8b,3150,4
0xa06eba77b61cdd531646304fa20b0e22fba5025d,3124,5
0xaf7e413d3b1fd82d11289a0dfb12ec02a4d2c6a2,3107,6
0x7c2023dd73c10662c1f9c93465acbdb7374b3292,3103,7
0xeda5d382666ef93215c7acb7f84cca64b3f48fb7,3097,8
0x33956bb3cb1b520f863519f7e344c22b5501b0ff,3060,9
0x05dd39e7e2cef4cf69be07defea9b9667d3e3d33,3059,10
0x29ee4671fdca385a3b9df766318bbcf0f56ca9bf,3052,11
0x3f74854634f38d85214fab55a9df20657394f82f,3046,12
0x0a1c0cd9a9ab7a7735cb4c9728e2d335a77506e5,3045,13
0xcfce514aec2512cd9a37ad36cfc7bcb19df12da4,3044,14
0xbf5b90cd68f8aca67ef306a8f21265f067906fea,3040,15
0x84164a038879057ad996c54333dc2ee611cd8f21,3031,16
0xb155f4fddfb8d25650ed9ff90f98bbf1c972a53c,3029,17
0xaf4172eeacbb8a256491fd0f4191e2bd305b71da,3027,18
0x7102673a5e5760246ef78003185c90bf57ae10dd,3020,19
0x84465c98474b0bb766cfe5f7870292d83b7ef554,3016,20
0x0363c40942487ffac3535fafb41b193789314cf4,3011,21
0xfc3370dbe227add7862fc9ec89667fe352145445,3010,22
0x4077c7b0bb212a2d8abbc4849855bc36202894a1,3010,23
0xfd4604c3f38c2609df457ce57e0cd4dd304180d5,3009,24
0xe8cc932b3034daee3faf13c875201bb119a3c2f5,3008,25
0x0a3575f4a0675bf060f0795d7a512a7fcddf3ff2,3007,26
0xc2803bbd01842513aedd6ee4330397c247d2b488,3004,27
0x4393681fa37e2601709877c77e62b6bf435f294c,3002,28
0x325d73aaa786273427eb5222cc5d0f3c1a3462a0,3001,29
0x3e77d16f5920021d0a3c73488ab9f3c4fd64daea,3001,30
0x6712c5341839ae24eb6c846cf93ab3636e2a8a67,2995,31
0x4fe641b54444d46201c32bafc3c48b4daaeb902c,2992,32
0x6195a259800869a90d045badafe6be1b4fac4ca0,2987,33
0xc93f64423052887fb5e96c74221f005f23393d2e,2985,34
0x57d12b82da8a0fb7744273df12b3d4e9dc5a13bc,2983,35
0x31e2a350a5b732e61acf06e618ac8b5ea7f31e63,2982,36
0x52b2b8ff0cafba8600d538b6ff9b2b9f5696b202,2981,37
0x929743dcc628e0096679a9d08c8b7513bed70f87,2981,38
0xd5d94697e7bb48794b0ef48f78b7ed6dd29f0683,2980,39
0x0409aa2bdd6ccfdd41102e8e581c5c6d3996986c,2978,40
0x2f21818aac7b512fa73891f04ed91dfdac4a5c81,2977,41
0xedfd2d1a9deb6fbc93d9f50235ad22a3493f355d,2974,42
0xe1d938fabe9bb8270f85448e267934fc54ef747b,2964,43
0x89be011c9da70b3b5686b6c82e661c4f983ff90d,2960,44
0x8b0a88985bc6be69b38760e71d04edc5bf1a7443,2959,45
0x29f86da4aa54ae5cdb5b322232ffab2cdb3ed8db,2959,46
0x9a66adc4d14d9ef8c332844546d3755e0ffc68ae,2958,47
0x09cdf52685617a40ae1c8a3a233d4fd26b5551ee,2958,48
