9580723,5,83,Bird,eyes-little-owl,ears-early-bird,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-hare,1650766466
4996890,4,100,Aquatic,eyes-telescope,ears-inkling,mouth-risky-fish,horn-shoal-star,back-goldfish,tail-nimo,1650766466
9352187,2,83,Bird,eyes-little-owl,ears-peace-maker,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-hare,1650766445
8935527,2,0,Dusk,eyes-clear,ears-peace-maker,mouth-tiny-turtle,horn-incisor,back-tri-spikes,tail-thorny-caterpillar,1650766436
11203931,1,0,Mech,eyes-gero,ears-curly,mouth-axie-kiss,horn-dual-blade,back-hero,tail-hare,1650766436
11076984,1,33,Plant,eyes-confused,ears-curved-spine,mouth-pincer,horn-lagging,back-snail-shell,tail-hot-butt,1650766436
7100041,4,33,Reptile,eyes-zeal,ears-gill,mouth-tiny-turtle,horn-wing-horn,back-furball,tail-grass-snake,1650766433
3190267,3,100,Bird,eyes-mavis,ears-peace-maker,mouth-doubletalk,horn-eggshell,back-cupid,tail-granmas-fan,1650766433
10719071,2,83,Bird,eyes-mavis,ears-curly,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-hare,1650766433
1410284,3,100,Bird,eyes-mavis,ears-peace-maker,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-swallow,1650766421
11295101,2,0,Mech,eyes-kotaro?,ears-owl,mouth-toothless-bite,horn-dual-blade,back-risky-beast,tail-twin-tail,1650766421
10266640,2,66,Plant,eyes-mavis,ears-earwing,mouth-serious,horn-cactus,back-pumpkin,tail-carrot,1650766421
10053818,0,83,Aquatic,eyes-clear,ears-small-frill,mouth-risky-fish,horn-shoal-star,back-goldfish,tail-koi,1650766421
8720331,5,83,Bird,eyes-mavis,ears-peace-maker,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-hare,1650766418
10355615,3,83,Bird,eyes-lucas,ears-owl,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-hare,1650766403
7280148,3,100,Aquatic,eyes-telescope,ears-inkling,mouth-piranha,horn-oranda,back-goldfish,tail-koi,1650766388
8869070,7,83,Bird,eyes-lucas,ears-owl,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-hare,1650766376
8119085,4,100,Bird,eyes-mavis,ears-peace-maker,mouth-doubletalk,horn-eggshell,back-pigeon-post,tail-post-fight,1650766370
8001154,0,0,Dusk,eyes-kotaro?,ears-tiny-fan,mouth-tiny-turtle,horn-lagging,back-pumpkin,tail-thorny-caterpillar,1650766370
7768024,4,0,Dusk,eyes-lucas,ears-curly,mouth-tiny-turtle,horn-lagging,back-snail-shell,tail-thorny-caterpillar,1650766367
9830255,3,83,Bug,eyes-mavis,ears-larva,mouth-pincer,horn-parasite,back-sandal,tail-fish-snack,1650766640
4201100,2,33,Aquatic,eyes-kotaro?,ears-bubblemaker,mouth-nut-cracker,horn-babylonia,back-ronin,tail-thorny-caterpillar,1650766631
906366,3,100,Bird,eyes-mavis,ears-owl,mouth-hungry-bird,horn-wing-horn,back-raven,tail-the-last-one,1650766619
1242147,3,100,Bug,eyes-nerdy,ears-ear-breathing,mouth-pincer,horn-antenna,back-snail-shell,tail-fish-snack,1650766619
10687125,4,83,Bird,eyes-mavis,ears-pink-cheek,mouth-little-owl,horn-eggshell,back-pigeon-post,tail-hare,1650766619
10178007,0,83,Plant,eyes-chubby,ears-leafy,mouth-serious,horn-cactus,back-pumpkin,tail-carrot,1650766619
4265523,3,100,Reptile,eyes-tricky,ears-pogona,mouth-kotaro,horn-incisor,back-bone-sail,tail-iguana,1650766601
2078568,3,100,Beast,eyes-chubby,ears-nyan,mouth-nut-cracker,horn-dual-blade,back-ronin,tail-cottontail,1650766601
11305451,0,50,Reptile,eyes-kotaro?,ears-sakura,mouth-kotaro,horn-scaly-spoon,back-indian-star,tail-nimo,1650766601
6282879,3,83,Plant,eyes-robin,ears-hollow,mouth-serious,horn-cactus,back-pumpkin,tail-carrot,1650766598
325578,4,100,Plant,eyes-papi,ears-clover,mouth-serious,horn-beech,back-pumpkin,tail-carrot,1650766598
2145631,4,100,Plant,eyes-papi,ears-lotus,mouth-serious,horn-cactus,back-pumpkin,tail-yam,1650766598
9696949,5,66,Beast,eyes-mavis,ears-curly,mouth-nut-cracker,horn-dual-blade,back-hero,tail-nut-cracker,1650766586
7798341,0,0,Dusk,eyes-clear,ears-belieber,mouth-tiny-turtle,horn-lagging,back-snail-shell,tail-thorny-caterpillar,1650766568
3598612,0,66,Plant,eyes-confused,ears-clover,mouth-pincer,horn-cactus,back-sponge,tail-carrot,1650766568
9725392,3,66,Plant,eyes-zeal,ears-rosa,mouth-serious,horn-leaf-bug,back-pumpkin,tail-potato-leaf,1650766565
9715508,4,33,Aquatic,eyes-little-owl,ears-larva,mouth-cute-bunny,horn-arco,back-goldfish,tail-nimo,1650766565
5173044,0,100,Beast,eyes-chubby,ears-nyan,mouth-nut-cracker,horn-dual-blade,back-ronin,tail-nut-cracker,1650766565
10571533,3,0,Dusk,eyes-mavis,ears-gill,mouth-tiny-turtle,horn-wing-horn,back-garish-worm,tail-grass-snake,1650766562
7815565,4,100,Aquatic,eyes-clear,ears-tiny-fan,mouth-lam,horn-oranda,back-goldfish,tail-nimo,1650766553
9652451,3,0,Dusk,eyes-cucumber-slice,ears-curved-spine,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,1650766817
7586881,3,100,Aquatic,eyes-gero,ears-inkling,mouth-risky-fish,horn-shoal-star,back-goldfish,tail-koi,1650766817
2630497,0,83,Aquatic,eyes-clear,ears-gill,mouth-pincer,horn-oranda,back-goldfish,tail-koi,1650766817
8704853,1,100,Aquatic,eyes-clear,ears-inkling,mouth-lam,horn-anemone,back-anemone,tail-nimo,1650766805
7669825,4,100,Bird,eyes-mavis,ears-early-bird,mouth-little-owl,horn-eggshell,back-raven,tail-granmas-fan,1650766796
6182057,0,16,Reptile,eyes-clear,ears-bubblemaker,mouth-tiny-turtle,horn-lagging,back-snail-shell,tail-thorny-caterpillar,1650766796
1335700,4,66,Bird,eyes-mavis,ears-seaslug,mouth-little-owl,horn-clamshell,back-cupid,tail-the-last-one,1650766796
9980895,3,100,Aquatic,eyes-gero,ears-inkling,mouth-lam,horn-anemone,back-anemone,tail-nimo,1650766790
2556821,3,0,Mech,eyes-puppy,ears-zen,mouth-cute-bunny,horn-imp,back-hero,tail-rice,1650766784
9689806,3,100,Aquatic,eyes-gero,ears-inkling,mouth-lam,horn-anemone,back-anemone,tail-nimo,1650766778
7293223,3,100,Aquatic,eyes-clear,ears-nimo,mouth-lam,horn-anemone,back-anemone,tail-nimo,1650766766
9806331,0,100,Plant,eyes-papi,ears-sakura,mouth-serious,horn-cactus,back-watering-can,tail-hot-butt,1650766763
4146699,2,83,Plant,eyes-nerdy,ears-clover,mouth-serious,horn-rose-bud,back-pumpkin,tail-carrot,1650766763
2116231,2,100,Beast,eyes-chubby,ears-nut-cracker,mouth-nut-cracker,horn-imp,back-ronin,tail-nut-cracker,1650766763
6493838,3,100,Aquatic,eyes-clear,ears-seaslug,mouth-lam,horn-anemone,back-anemone,tail-nimo,1650766754
8858453,3,100,Aquatic,eyes-gero,ears-seaslug,mouth-lam,horn-anemone,back-anemone,tail-nimo,1650766742
6797304,2,83,Reptile,eyes-tricky,ears-pogona,mouth-zigzag,horn-scaly-spear,back-bone-sail,tail-wall-gecko,1650766739
8690361,2,66,Reptile,eyes-chubby,ears-curved-spine,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,1650766730
11248944,0,0,Mech,eyes-clear,ears-beetle-spike,mouth-nut-cracker,horn-arco,back-balloon,tail-nut-cracker,1650766730
