5944508,-22,-29,-40,-55,-76,-108,-155,1651045259,22
9251618,-31,-38,-48,-63,-85,-117,-164,1651045238,14
5391765,-26,-32,-43,-58,-80,-112,-159,1651045238,19
11283804,16,10,0,-15,-37,-69,-116,1651045238,62
7615502,-28,-34,-45,-60,-82,-114,-161,1651045223,17
9494900,-25,-31,-42,-57,-79,-111,-158,1651045214,20
9098873,0,-6,-16,-31,-53,-85,-132,1651045208,46
11303980,24,18,7,-7,-29,-61,-108,1651045208,70
10522424,-31,-37,-48,-63,-85,-117,-164,1651045205,14
6452184,-32,-38,-49,-64,-86,-118,-165,1651045193,13
6405423,-14,-20,-31,-46,-68,-100,-146,1651045193,31
5839394,-31,-38,-49,-64,-86,-117,-164,1651045175,13
4573907,-30,-36,-47,-62,-84,-116,-162,1651045175,15
2933811,-31,-37,-48,-63,-85,-117,-164,1651045175,14
8449955,31,25,14,0,-22,-54,-101,1651045172,77
6540890,-29,-35,-46,-61,-83,-115,-162,1651045160,16
3338115,-31,-37,-48,-63,-85,-117,-164,1651045160,14
5582091,-29,-35,-46,-61,-83,-115,-162,1651045142,16
11296258,145,139,128,113,91,59,13,1651045142,191
3784295,-32,-38,-49,-64,-86,-118,-165,1651045139,13
7869990,-34,-40,-51,-66,-88,-120,-167,1651045454,11
4065279,-32,-38,-49,-64,-86,-118,-165,1651045445,13
4587732,-32,-39,-49,-65,-87,-118,-165,1651045439,13
348601,-31,-37,-48,-63,-85,-117,-164,1651045436,14
2651665,-24,-30,-41,-56,-78,-110,-157,1651045436,21
814209,17,11,0,-14,-36,-68,-115,1651045424,63
6050320,-32,-39,-49,-64,-86,-118,-165,1651045424,13
1890526,-26,-32,-43,-58,-80,-112,-159,1651045424,19
11283793,-18,-24,-35,-50,-72,-104,-151,1651045424,27
10529706,7,0,-9,-25,-46,-78,-125,1651045424,53
3012665,-31,-38,-48,-64,-85,-117,-164,1651045415,14
5291727,-32,-39,-49,-64,-86,-118,-165,1651045406,13
10501136,-16,-23,-34,-49,-71,-102,-149,1651045406,28
311424,-16,-23,-33,-48,-70,-102,-149,1651045403,29
3100533,-31,-38,-49,-64,-86,-118,-164,1651045403,13
2224781,-31,-38,-49,-64,-86,-118,-164,1651045400,13
3193112,-31,-38,-48,-63,-85,-117,-164,1651045391,14
1856213,-31,-37,-48,-63,-85,-117,-163,1651045391,14
1180149,-19,-25,-36,-51,-73,-105,-152,1651045391,26
11281904,105,98,88,73,51,19,-27,1651045391,150
2462710,-31,-38,-49,-64,-86,-117,-164,1651045628,13
4817626,-30,-36,-47,-62,-84,-116,-162,1651045622,15
4707259,-31,-37,-48,-63,-85,-117,-163,1651045622,14
4455365,-31,-38,-48,-63,-85,-117,-164,1651045604,14
3364995,-30,-36,-47,-62,-84,-116,-162,1651045604,15
3191485,-31,-38,-49,-64,-86,-117,-164,1651045604,13
1957845,-28,-35,-45,-60,-82,-114,-161,1651045604,17
771132,-25,-32,-42,-57,-79,-111,-158,1651045601,20
2029019,-32,-38,-49,-64,-86,-117,-164,1651045601,13
11304771,-7,-13,-24,-39,-61,-92,-139,1651045601,38
6064075,-31,-37,-48,-63,-85,-116,-163,1651045589,14
6009187,-31,-37,-48,-63,-85,-117,-163,1651045589,14
2356403,-31,-38,-48,-63,-85,-117,-163,1651045571,14
797684,-31,-37,-48,-63,-85,-116,-163,1651045568,14
11209220,108,102,91,76,54,23,-23,1651045562,154
3803930,-31,-37,-48,-63,-85,-117,-163,1651045556,14
2929224,2,-3,-14,-29,-51,-83,-129,1651045556,48
2067348,-31,-38,-49,-64,-85,-117,-164,1651045556,13
11006575,46,39,29,14,-7,-39,-86,1651045556,92
3240418,-31,-38,-48,-63,-85,-117,-164,1651045538,13
9307277,-31,-38,-49,-64,-85,-117,-164,1651045820,13
8882968,1,-4,-15,-30,-52,-84,-130,1651045820,47
7177699,-32,-38,-49,-64,-86,-118,-164,1651045820,13
4478918,-25,-32,-42,-57,-79,-111,-157,1651045802,20
1856572,-31,-37,-48,-63,-85,-117,-163,1651045802,14
1065372,-31,-38,-48,-64,-85,-117,-164,1651045802,13
896513,-31,-38,-49,-64,-85,-117,-164,1651045799,13
6110388,-26,-33,-44,-59,-81,-112,-159,1651045787,18
5439175,-19,-26,-36,-51,-73,-105,-152,1651045787,25
4754859,-31,-38,-48,-63,-85,-117,-164,1651045787,13
1399292,-32,-38,-49,-64,-86,-118,-164,1651045787,13
10834332,-18,-24,-35,-50,-72,-104,-150,1651045778,27
4814276,-31,-37,-48,-63,-85,-117,-163,1651045769,14
11308871,70,64,53,38,16,-15,-61,1651045769,116
10142509,1,-5,-16,-31,-53,-84,-131,1651045769,46
8970493,-29,-35,-46,-61,-83,-115,-161,1651045766,16
10148848,20,14,3,-11,-33,-65,-111,1651045766,66
8337065,0,-6,-17,-32,-54,-85,-132,1651045754,45
5265056,-32,-38,-49,-64,-86,-118,-164,1651045754,13
5090705,-31,-38,-48,-63,-85,-117,-164,1651045754,14
4410753,-30,-37,-48,-63,-84,-116,-163,1651046000,14
3151541,-31,-38,-48,-63,-85,-117,-163,1651046000,13
8171051,-29,-35,-46,-61,-83,-114,-161,1651045997,16
3528878,-17,-23,-34,-49,-70,-102,-148,1651045997,28
312986,-25,-32,-42,-57,-79,-111,-157,1651045997,19
10875248,12,5,-5,-20,-41,-73,-119,1651045997,57
11181500,30,24,13,-1,-23,-55,-101,1651045991,76
5151516,-22,-28,-39,-54,-76,-108,-154,1651045988,23
